code,conditions,garment
57N8,"[{""Buttons"":{""condition"":""equals"",""value"":""Standard""}}]",Shirt
"0001, 00W3","[{""Lapel"":{""condition"":""equals"",""value"":""Notch - Very Slim""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 1 Button""}}]",Jacket
"0001, 00X2","[{""Lapel"":{""condition"":""equals"",""value"":""Notch - Slim""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 1 Button""}}]",Jacket
"0001, 00S3","[{""Lapel"":{""condition"":""equals"",""value"":""Notch - Very Wide""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 1 Button""}}]",Jacket
"0001, 00N8","[{""Lapel"":{""condition"":""equals"",""value"":""Notch - Wide""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 1 Button""}}]",Jacket
"0002, 00W7","[{""Lapel"":{""condition"":""equals"",""value"":""Peak - Slim""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 1 Button""}}]",Jacket
"0002, 00N2","[{""Lapel"":{""condition"":""equals"",""value"":""Peak - Standard""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 1 Button""}}]",Jacket
"0002, 00S3","[{""Lapel"":{""condition"":""equals"",""value"":""Peak - Very Wide""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 1 Button""}}]",Jacket
"0005, 00SF","[{""Lapel"":{""condition"":""equals"",""value"":""Shawl - Very Slim""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 1 Button""}}]",Jacket
"0005, 00W3","[{""Lapel"":{""condition"":""equals"",""value"":""Shawl - Slim""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 1 Button""}}]",Jacket
"0005, 00W9","[{""Lapel"":{""condition"":""equals"",""value"":""Shawl - Standard""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 1 Button""}}]",Jacket
"0005, 00N2","[{""Lapel"":{""condition"":""equals"",""value"":""Shawl - Wide""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 1 Button""}}]",Jacket
"0005, 00S1","[{""Lapel"":{""condition"":""equals"",""value"":""Shawl - Very Wide""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 1 Button""}}]",Jacket
"0001, 00X2","[{""Lapel"":{""condition"":""equals"",""value"":""Notch - Slim""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 2 Button""}}]",Jacket
"0001, 00N2","[{""Lapel"":{""condition"":""equals"",""value"":""Notch - Standard""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 2 Button""}}]",Jacket
"0001, 00N5","[{""Lapel"":{""condition"":""equals"",""value"":""Notch - Wide""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 2 Button""}}]",Jacket
"0002, 00W4","[{""Lapel"":{""condition"":""equals"",""value"":""Peak - Very Slim""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 2 Button""}}]",Jacket
"0002, 00N8","[{""Lapel"":{""condition"":""equals"",""value"":""Peak - Wide""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 2 Button""}}]",Jacket
"0005, 00SF","[{""Lapel"":{""condition"":""equals"",""value"":""Shawl - Very Slim""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 2 Button""}}]",Jacket
"0005, 00W3","[{""Lapel"":{""condition"":""equals"",""value"":""Shawl - Slim""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 2 Button""}}]",Jacket
"0001, 00W3","[{""Lapel"":{""condition"":""equals"",""value"":""Notch - Very Slim""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 3 Button""}}]",Jacket
"0001, 00W8","[{""Lapel"":{""condition"":""equals"",""value"":""Notch - Slim""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 3 Button""}}]",Jacket
"0001, 00X7","[{""Lapel"":{""condition"":""equals"",""value"":""Notch - Standard""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 3 Button""}}]",Jacket
"0002, 00W4","[{""Lapel"":{""condition"":""equals"",""value"":""Peak - Very Slim""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 3 Button""}}]",Jacket
"0002, 00W9","[{""Lapel"":{""condition"":""equals"",""value"":""Peak - Standard""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 3 Button""}}]",Jacket
"0002, 00N6","[{""Lapel"":{""condition"":""equals"",""value"":""Peak - Wide""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 3 Button""}}]",Jacket
"0001, 00W3","[{""Lapel"":{""condition"":""equals"",""value"":""Notch - Very Slim""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 2 Button""}}]",Jacket
"0005, 00W9","[{""Lapel"":{""condition"":""equals"",""value"":""Shawl - Standard""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 2 Button""}}]",Jacket
"0002, 00W1","[{""Lapel"":{""condition"":""equals"",""value"":""Peak - Very Slim""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 1 Button""}}]",Jacket
"0002, 00N8","[{""Lapel"":{""condition"":""equals"",""value"":""Peak - Wide""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 1 Button""}}]",Jacket
"0001, 00N8","[{""Lapel"":{""condition"":""equals"",""value"":""Notch - Very Wide""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 2 Button""}}]",Jacket
"0002, 00W7","[{""Lapel"":{""condition"":""equals"",""value"":""Peak - Slim""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 2 Button""}}]",Jacket
"0005, 00N2","[{""Lapel"":{""condition"":""equals"",""value"":""Shawl - Wide""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 2 Button""}}]",Jacket
"0005, 00S1","[{""Lapel"":{""condition"":""equals"",""value"":""Shawl - Very Wide""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 2 Button""}}]",Jacket
"0001, 00N5","[{""Lapel"":{""condition"":""equals"",""value"":""Notch - Wide""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 3 Button""}}]",Jacket
"0001, 00N8","[{""Lapel"":{""condition"":""equals"",""value"":""Notch - Very Wide""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 3 Button""}}]",Jacket
"0002, 00X2","[{""Lapel"":{""condition"":""equals"",""value"":""Peak - Slim""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 3 Button""}}]",Jacket
"0002, 00S3","[{""Lapel"":{""condition"":""equals"",""value"":""Peak - Very Wide""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 3 Button""}}]",Jacket
"0005, 00W1","[{""Lapel"":{""condition"":""equals"",""value"":""Shawl - Very Slim""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 3 Button""}}]",Jacket
"0005, 00W3","[{""Lapel"":{""condition"":""equals"",""value"":""Shawl - Slim""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 3 Button""}}]",Jacket
"0005, 00W9","[{""Lapel"":{""condition"":""equals"",""value"":""Shawl - Standard""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 3 Button""}}]",Jacket
"0005, 00N2","[{""Lapel"":{""condition"":""equals"",""value"":""Shawl - Wide""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 3 Button""}}]",Jacket
"0005, 00N4","[{""Lapel"":{""condition"":""equals"",""value"":""Shawl - Very Wide""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 3 Button""}}]",Jacket
"0001, 00W6","[{""Lapel"":{""condition"":""equals"",""value"":""Notch - Slim""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Double Breasted - 4-Button 1 Button Fasten""}}]",Jacket
"0001, 00N1","[{""Lapel"":{""condition"":""equals"",""value"":""Notch - Standard""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Double breasted - 4-Button 1 Button Fasten""}}]",Jacket
"0001, 00N4","[{""Lapel"":{""condition"":""equals"",""value"":""Notch - Wide""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Double Breasted - 4-Button 1 Button Fasten""}}]",Jacket
"0001, 00Y2","[{""Lapel"":{""condition"":""equals"",""value"":""Notch - Very Wide""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Double Breasted - 4-Button 1 Button Fasten""}}]",Jacket
"0002, 00W5","[{""Lapel"":{""condition"":""equals"",""value"":""Peak - Very Slim""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Double Breasted - 4-Button 1 Button Fasten""}}]",Jacket
"0002, 00X2","[{""Lapel"":{""condition"":""equals"",""value"":""Peak - Slim""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Double Breasted - 4-Button 1 Button Fasten""}}]",Jacket
"0002, 00W9","[{""Lapel"":{""condition"":""equals"",""value"":""Peak - Standard""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Double Breasted - 4-Button 1 Button Fasten""}}]",Jacket
"0002, 00N6","[{""Lapel"":{""condition"":""equals"",""value"":""Peak - Wide""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Double Breasted - 4-Button 1 Button Fasten""}}]",Jacket
"0002, 00S3","[{""Lapel"":{""condition"":""equals"",""value"":""Peak - Very Wide""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Double Breasted - 4-Button 1 Button Fasten""}}]",Jacket
"0005, 00N4","[{""Lapel"":{""condition"":""equals"",""value"":""Shawl - Standard""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Double Breasted - 4-Button 1 Button Fasten""}}]",Jacket
"0001, 00W6","[{""Lapel"":{""condition"":""equals"",""value"":""Notch - Slim""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Double Breasted - 4-Button 2 Button Fasten""}}]",Jacket
"0001, 00N1","[{""Lapel"":{""condition"":""equals"",""value"":""Notch - Standard""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Double Breasted - 4-Button 2 Button Fasten""}}]",Jacket
"0001, 00N2","[{""Lapel"":{""condition"":""equals"",""value"":""Notch - Wide""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Double Breasted - 4-Button 2 Button Fasten""}}]",Jacket
"0002, 00W6","[{""Lapel"":{""condition"":""equals"",""value"":""Peak - Very Slim""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Double Breasted - 4-Button 2 Button Fasten""}}]",Jacket
"0002, 00X4","[{""Lapel"":{""condition"":""equals"",""value"":""Peak - Slim""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Double Breasted - 4-Button 2 Button Fasten""}}]",Jacket
"0002, 00N4","[{""Lapel"":{""condition"":""equals"",""value"":""Peak - Standard""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Double Breasted - 4-Button 2 Button Fasten""}}]",Jacket
"0002, 00N2","[{""Lapel"":{""condition"":""equals"",""value"":""Peak - Standard""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 2 Button""}}]",Jacket
"0002, 00S3","[{""Lapel"":{""condition"":""equals"",""value"":""Peak - Very Wide""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 2 Button""}}]",Jacket
"0002, 00S1","[{""Lapel"":{""condition"":""equals"",""value"":""Peak - Wide""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Double Breasted - 4-Button 2 Button Fasten""}}]",Jacket
"0002, 00S3","[{""Lapel"":{""condition"":""equals"",""value"":""Peak - Very Wide""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Double Breasted - 4-Button 2 Button Fasten""}}]",Jacket
"0001, 00W6","[{""Lapel"":{""condition"":""equals"",""value"":""Notch - Slim""}},{""Jacket Style"":{""condition"":""contains"",""value"":""6-Button 1 Button Fasten""}}]",Jacket
"0001, 00N4","[{""Lapel"":{""condition"":""contains"",""value"":""Notch - Standard""}},{""Jacket Style"":{""condition"":""contains"",""value"":""6-Button 1 Button Fasten""}}]",Jacket
"0001, 00Y2","[{""Lapel"":{""condition"":""contains"",""value"":""Notch - Wide""}},{""Jacket Style"":{""condition"":""contains"",""value"":""6-Button 1 Button Fasten""}}]",Jacket
"0002, 00W9","[{""Lapel"":{""condition"":""contains"",""value"":""Peak - Slim""}},{""Jacket Style"":{""condition"":""contains"",""value"":""6-Button 1 Button Fasten""}}]",Jacket
"0002, 00N2","[{""Lapel"":{""condition"":""contains"",""value"":""Peak - Standard""}},{""Jacket Style"":{""condition"":""contains"",""value"":""6-button 1 Button Fasten""}}]",Jacket
"0002, 00Y2","[{""Lapel"":{""condition"":""contains"",""value"":""Peak - Wide""}},{""Jacket Style"":{""condition"":""contains"",""value"":""6-Button 1 Button Fasten""}}]",Jacket
"0002, 00S3","[{""Lapel"":{""condition"":""contains"",""value"":""Peak - Very Wide""}},{""Jacket Style"":{""condition"":""contains"",""value"":""6-Button 1 Button Fasten""}}]",Jacket
"0001, 00W6","[{""Lapel"":{""condition"":""contains"",""value"":""Notch - Slim""}},{""Jacket Style"":{""condition"":""contains"",""value"":""6-Button 2 Button Fasten""}}]",Jacket
"0005, 00W7","[{""Lapel"":{""condition"":""contains"",""value"":""Shawl - Slim""}},{""Jacket style"":{""condition"":""contains"",""value"":""6-Button 2 Button Fasten""}}]",Jacket
"0005, 00N3","[{""Lapel"":{""condition"":""contains"",""value"":""Shawl - Standard""}},{""Jacket Style"":{""condition"":""contains"",""value"":""6-Button 2 Button Fasten""}}]",Jacket
"0001, 00W3","[{""Lapel"":{""condition"":""equals"",""value"":""Notch - Very Slim""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 1 Button""}}]",Tux Jacket
"0001, 00X2","[{""Lapel"":{""condition"":""equals"",""value"":""Notch - Slim""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 1 Button""}}]",Tux Jacket
"0001, 00N2","[{""Lapel"":{""condition"":""equals"",""value"":""Notch - Standard""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 1 Button""}}]",Tux Jacket
"0001, 00N8","[{""Lapel"":{""condition"":""equals"",""value"":""Notch - Wide""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 1 Button""}}]",Tux Jacket
"0002, 00W7","[{""Lapel"":{""condition"":""equals"",""value"":""Peak - Slim""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 1 Button""}}]",Tux Jacket
"0002, 00N2","[{""Lapel"":{""condition"":""equals"",""value"":""Peak - Standard""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 1 Button""}}]",Tux Jacket
"0002, 00S3","[{""Lapel"":{""condition"":""equals"",""value"":""Peak - Very Wide""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 1 Button""}}]",Tux Jacket
"0005, 00SF","[{""Lapel"":{""condition"":""equals"",""value"":""Shawl - Very Slim""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 1 Button""}}]",Tux Jacket
"0005, 00W9","[{""Lapel"":{""condition"":""equals"",""value"":""Shawl - Standard""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 1 Button""}}]",Tux Jacket
"0005, 00N2","[{""Lapel"":{""condition"":""equals"",""value"":""Shawl - Wide""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 1 Button""}}]",Tux Jacket
"0005, 00S1","[{""Lapel"":{""condition"":""equals"",""value"":""Shawl - Very Wide""}},{""Jacket style"":{""condition"":""equals"",""value"":""Single Breasted - 1 Button""}}]",Tux Jacket
"0001, 00X2","[{""Lapel"":{""condition"":""equals"",""value"":""Notch - Slim""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 2 Button""}}]",Tux Jacket
"0001, 00N2","[{""Lapel"":{""condition"":""equals"",""value"":""Notch - Standard""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 2 Button""}}]",Tux Jacket
"0001, 00N5","[{""Lapel"":{""condition"":""equals"",""value"":""Notch - Wide""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 2 Button""}}]",Tux Jacket
"0002, 00W4","[{""Lapel"":{""condition"":""equals"",""value"":""Peak - Very Slim""}},{""Jacket Stylel"":{""condition"":""equals"",""value"":""Single Breasted - 2 Button""}}]",Tux Jacket
"0002, 00W4","[{""Lapel"":{""condition"":""equals"",""value"":""Peak - Very Slim""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 3 Button""}}]",Tux Jacket
"0002, 00W9","[{""Lapel"":{""condition"":""equals"",""value"":""Peak - Standard""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 3 Button""}}]",Tux Jacket
"0002, 00N6","[{""Lapel"":{""condition"":""equals"",""value"":""Peak - Wide""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 3 Button""}}]",Tux Jacket
"0005, 00N3","[{""Lapel"":{""condition"":""equals"",""value"":""Shawl - Standard""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Double Breasted - 4-Button 2 Button Fasten""}}]",Jacket
"0002, 00W5","[{""Lapel"":{""condition"":""contains"",""value"":""Peak - Very Slim""}},{""Jacket Style"":{""condition"":""contains"",""value"":""6-Button 1 Button Fasten""}}]",Jacket
"0005, 00Y2","[{""Lapel"":{""condition"":""contains"",""value"":""Shawl - Standard""}},{""Jacket Style"":{""condition"":""contains"",""value"":""6-Button 1 Button Fasten""}}]",Jacket
"0001, 00N1","[{""Lapel"":{""condition"":""contains"",""value"":""Notch - Standard""}},{""Jacket Style"":{""condition"":""contains"",""value"":""6-Button 2 Button Fasten""}}]",Jacket
"0001, 00N5","[{""Lapel"":{""condition"":""contains"",""value"":""Notch - Wide""}},{""Jacket Style"":{""condition"":""contains"",""value"":""6-Button 2 Button Fasten""}}]",Jacket
"0002, 00W6","[{""Lapel"":{""condition"":""contains"",""value"":""Peak - Very Slim""}},{""Jacket Style"":{""condition"":""contains"",""value"":""6-Button 2 Button Fasten""}}]",Jacket
"0002, 00X4","[{""Lapel"":{""condition"":""contains"",""value"":""Peak - Slim""}},{""Jacket Style"":{""condition"":""contains"",""value"":""6-Button 2 Button Fasten""}}]",Jacket
"0002, 00N4","[{""Lapel"":{""condition"":""contains"",""value"":""Peak - Standard""}},{""Jacket Style"":{""condition"":""contains"",""value"":""6-Button 2 Button Fasten""}}]",Jacket
"0002, 00S1","[{""Lapel"":{""condition"":""contains"",""value"":""Peak - Wide""}},{""Jacket Style"":{""condition"":""contains"",""value"":""6-Button 2 Button Fasten""}}]",Jacket
"0002, 00S3","[{""Lapel"":{""condition"":""contains"",""value"":""Peak - Very Wide""}},{""Jacket Style"":{""condition"":""contains"",""value"":""6-Button 2 Button Fasten""}}]",Jacket
"0005, 00Y7","[{""Lapel"":{""condition"":""contains"",""value"":""Shawl - Wide""}},{""Jacket Style"":{""condition"":""contains"",""value"":""6-Button 2 Button Fasten""}}]",Jacket
"0001, 00N2","[{""Lapel"":{""condition"":""equals"",""value"":""Notch - Standard""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 1 Button""}}]",Jacket
"0001, 00S3","[{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 1 Button""}},{""Lapel"":{""condition"":""equals"",""value"":""Notch - Very Wide""}}]",Tux Jacket
"0005, 00W3","[{""Lapel"":{""condition"":""equals"",""value"":""Shawl - Slim""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 1 Button""}}]",Tux Jacket
"0002, 00N8","[{""Lapel"":{""condition"":""equals"",""value"":""Peak - Wide""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 2 Button""}}]",Tux Jacket
"0005, 00SF","[{""Lapel"":{""condition"":""equals"",""value"":""Shawl - Very Slim""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 2 Button""}}]",Tux Jacket
"0005, 00W3","[{""Lapel"":{""condition"":""equals"",""value"":""Shawl - Standard""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 2 Button""}}]",Tux Jacket
"0005, 00W9","[{""Lapel"":{""condition"":""equals"",""value"":""Shawl - Standard""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 2 Button""}}]",Tux Jacket
"0001, 00W3","[{""Lapel"":{""condition"":""equals"",""value"":""Notch - Very Slim""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 3 Button""}}]",Tux Jacket
"0001, 00W8","[{""Lapel"":{""condition"":""equals"",""value"":""Notch - Slim""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 3 Button""}}]",Tux Jacket
"0001, 00X7","[{""Lapel"":{""condition"":""equals"",""value"":""Notch - Standard""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 3 Button""}}]",Tux Jacket
"0001, 00W3","[{""Lapel"":{""condition"":""equals"",""value"":""Notch - Very Slim""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 2 Button""}}]",Tux Jacket
"0002, 00W1","[{""Lapel"":{""condition"":""equals"",""value"":""Peak - Very Slim""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 1 Button""}}]",Tux Jacket
"0002, 00N8","[{""Lapel"":{""condition"":""equals"",""value"":""Peak - Wide""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 1 Button""}}]",Tux Jacket
"0001, 00N8","[{""Lapel"":{""condition"":""equals"",""value"":""Notch - Very Wide""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 2 Button""}}]",Tux Jacket
"0002, 00W7","[{""Lapel"":{""condition"":""equals"",""value"":""Peak - Slim""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 2 Button""}}]",Tux Jacket
"0002, 00N2","[{""Lapel"":{""condition"":""equals"",""value"":""Peak - Standard""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 2 Button""}}]",Tux Jacket
"0002, 00S3","[{""Lapel"":{""condition"":""equals"",""value"":""Peak - Very Wide""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 2 Button""}}]",Tux Jacket
"0005, 00N2","[{""Lapel"":{""condition"":""equals"",""value"":""Shawl - Wide""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 2 Button""}}]",Tux Jacket
"0005, 00S1","[{""Lapel"":{""condition"":""equals"",""value"":""Shawl - Very Wide""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 2 Button""}}]",Tux Jacket
"0001, 00N5","[{""Lapel"":{""condition"":""equals"",""value"":""Notch - Wide""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 3 Button""}}]",Tux Jacket
"0001, 00N8","[{""Lapel"":{""condition"":""equals"",""value"":""Notch - Very Wide""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 3 Button""}}]",Tux Jacket
"0002, 00X2","[{""Lapel"":{""condition"":""equals"",""value"":""Peak - Slim""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 3 Button""}}]",Tux Jacket
"0002, 00S3","[{""Lapel"":{""condition"":""equals"",""value"":""Peak - Very Wide""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 3 Button""}}]",Tux Jacket
"0005, 00W1","[{""Lapel"":{""condition"":""equals"",""value"":""Shawl - Very Slim""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 3 Button""}}]",Tux Jacket
"0005, 00W3","[{""Lapel"":{""condition"":""equals"",""value"":""Shawl - Slim""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 3 Button""}}]",Tux Jacket
"0005, 00W9","[{""Lapel"":{""condition"":""equals"",""value"":""Shawl - Standard""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 3 Button""}}]",Tux Jacket
58UA,"[{""Cuff Style"":{""condition"":""contains"",""value"":""1 Button""}}]",Shirt
"0005, 00N2","[{""Lapel"":{""condition"":""equals"",""value"":""Shawl - Wide""}},{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 3 Button""}}]",Tux Jacket
"0001, 00W6","[{""Lapel"":{""condition"":""equals"",""value"":""Notch - Slim""}},{""Jacket style"":{""condition"":""equals"",""value"":""Double Breasted - 4-Button 1 Button Fasten""}}]",Tux Jacket
"0001, 00N4","[{""Lapel"":{""condition"":""equals"",""value"":""Notch - Wide""}},{""Jacket Style"":{""condition"":""contains"",""value"":""4-Button 1 Button Fasten""}}]",Tux Jacket
"0001, 00Y2","[{""Lapel"":{""condition"":""contains"",""value"":""Notch - Very Wide""}},{""Jacket Style"":{""condition"":""contains"",""value"":""4-Button 1 Button Fasten""}}]",Tux Jacket
"0002, 00W5","[{""Lapel"":{""condition"":""contains"",""value"":""Peak - Very Slim""}},{""Jacket Style"":{""condition"":""contains"",""value"":""4-Button 1 Button Fasten""}}]",Tux Jacket
"0001, 00N1","[{""Lapel"":{""condition"":""contains"",""value"":""Notch - Standard""}},{""Jacket Style"":{""condition"":""contains"",""value"":""4-Button 2 Button Fasten""}}]",Tux Jacket
"0001, 00N2","[{""Lapel"":{""condition"":""contains"",""value"":""Notch - Wide""}},{""Jacket Style"":{""condition"":""contains"",""value"":""4-Button 2 Button Fasten""}}]",Tux Jacket
"0002, 00W6","[{""Lapel"":{""condition"":""contains"",""value"":""Peak - Very Slim""}},{""Jacket Style"":{""condition"":""contains"",""value"":""4-Button 2 Button Fasten""}}]",Tux Jacket
"0002, 00S3","[{""Lapel"":{""condition"":""contains"",""value"":""Peak - Very Wide""}},{""Jacket Style"":{""condition"":""contains"",""value"":""4-Button 2 Button Fasten""}}]",Tux Jacket
"0001, 00W6","[{""Lapel"":{""condition"":""contains"",""value"":""Notch - Slim""}},{""Jacket Style"":{""condition"":""contains"",""value"":""6-Button 1 Button Fasten""}}]",Tux Jacket
"0001, 00Y2","[{""Lapel"":{""condition"":""contains"",""value"":""Notch - Wide""}},{""Jacket Style"":{""condition"":""contains"",""value"":""6-Button 1 Button Fasten""}}]",Tux Jacket
"0002, 00W9","[{""Lapel"":{""condition"":""contains"",""value"":""Peak - Slim""}},{""Jacket Style"":{""condition"":""contains"",""value"":""6-Button 1 Button Fasten""}}]",Tux Jacket
"0002, 00N2","[{""Lapel"":{""condition"":""contains"",""value"":""Peak - Standard""}},{""Jacket Style"":{""condition"":""contains"",""value"":""6-Button 1 Button Fasten""}}]",Tux Jacket
"0002, 00Y2","[{""Lapel"":{""condition"":""contains"",""value"":""Peak - Wide""}},{""Jacket Style"":{""condition"":""contains"",""value"":""6-Button 1 Button Fasten""}}]",Tux Jacket
"0002, 00S3","[{""Lapel"":{""condition"":""contains"",""value"":""Peak - Very Wide""}},{""Jacket Style"":{""condition"":""contains"",""value"":""6-Button 1 Button Fasten""}}]",Tux Jacket
"0001, 00W6","[{""Lapel"":{""condition"":""contains"",""value"":""Notch - Slim""}},{""Jacket Style"":{""condition"":""contains"",""value"":""6-Button 2 Button Fasten""}}]",Tux Jacket
"0005, 00W7","[{""Lapel"":{""condition"":""contains"",""value"":""Shawl - Slim""}},{""Jacket Style"":{""condition"":""contains"",""value"":""6-Button 2 Button Fasten""}}]",Tux Jacket
"0005, 00Y2","[{""Lapel"":{""condition"":""contains"",""value"":""Shawl - Standard""}},{""Jacket Style"":{""condition"":""contains"",""value"":""6-Button 1 Button Fasten""}}]",Tux Jacket
