code,conditions,garment
"0622, 0612","[{""Cuff"":{""condition"":""equals"",""value"":""4 Button - Kissing Straight""}}]",Jacket
"0627, 0612","[{""Cuff"":{""condition"":""equals"",""value"":""5 Button - Flat Straight""}}]",Jacket
"0627, 061D","[{""Cuff"":{""condition"":""equals"",""value"":""5 Button - Flat Slanted""}}]",Jacket
"0628, 061D","[{""Cuff"":{""condition"":""equals"",""value"":""5 Button - Kissing Slanted""}}]",Jacket
"0628, 0612","[{""Cuff"":{""condition"":""equals"",""value"":""5 Button - Kissing Straight""}}]",Jacket
04N1,"[{""Vent"":{""condition"":""equals"",""value"":""Single Vent""}}]",Jacket
04N0,"[{""Vent"":{""condition"":""equals"",""value"":""No Vent""}}]",Jacket
0231,"[{""Lower Pockets"":{""condition"":""equals"",""value"":""Straight - Double Besom Straight""}}]",Tux Jacket
0571,"[{""Pic Stitching"":{""condition"":""equals"",""value"":""Pic Stitch""}}]",Jacket
0570,"[{""Pic Stitching"":{""condition"":""equals"",""value"":""No Pic Stitch""}}]",Jacket
0711,"[{""Lining"":{""condition"":""equals"",""value"":""Match Fabric""}}]",Jacket
085E,"[{""Piping"":{""condition"":""equals"",""value"":""Match Fabric""}}]",Jacket
0671,"[{""Collar Felt"":{""condition"":""equals"",""value"":""Match Fabric""}}]",Jacket
064A,"[{""Buttonhole Threading"":{""condition"":""equals"",""value"":""Match Fabric""}}]",Jacket
064C,"[{""Button Threading"":{""condition"":""equals"",""value"":""Match Fabric""}}]",Jacket
087A,"[{""Name Label"":{""condition"":""equals"",""value"":""No Label""}}]",Jacket
00C1,"[{""Canvassing"":{""condition"":""equals"",""value"":""Half""}}]",Jacket
000B,"[{""Canvassing"":{""condition"":""equals"",""value"":""Semi-full (+$75)""}}]",Jacket
000A,"[{""Canvassing"":{""condition"":""equals"",""value"":""Full (+$195)""}}]",Jacket
064Q,"[{""Lapel Buttonhole"":{""condition"":""equals"",""value"":""Milanese Lapel Buttonhole (+$30)""}}]",Jacket
"064P, 0658","[{""All Buttonholes"":{""condition"":""equals"",""value"":""Hand Sewn Buttonholes (+$125)""}}]",Jacket
0011,"[{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 1 Button""}}]",Tux Jacket
0012,"[{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 2 Button""}}]",Tux Jacket
0013,"[{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 3 Button""}}]",Tux Jacket
0017,"[{""Jacket Style"":{""condition"":""equals"",""value"":""Double Breasted - 4 Button 1 Button Fasten""}}]",Tux Jacket
0015,"[{""Jacket Style"":{""condition"":""equals"",""value"":""Double Breasted - 4 Button 2 Button Fasten""}}]",Tux Jacket
0018,"[{""Jacket Style"":{""condition"":""equals"",""value"":""Double Breasted - 6-Button 1 Button Fasten""}}]",Tux Jacket
0101,"[{""Breast Pocket"":{""condition"":""equals"",""value"":""Normal""}}]",Tux Jacket
0150,"[{""Breast Pocket"":{""condition"":""equals"",""value"":""Patch""}}]",Tux Jacket
0201,"[{""Lower Pockets"":{""condition"":""equals"",""value"":""Straight - Lower Flap Straight""}}]",Tux Jacket
0204,"[{""Lower Pockets"":{""condition"":""equals"",""value"":""Straight - Normal Flap with Ticket""}}]",Tux Jacket
0234,"[{""Lower Pockets"":{""condition"":""equals"",""value"":""Straight - Double Besom with Ticket""}}]",Tux Jacket
02A1,"[{""Lower Pockets"":{""condition"":""equals"",""value"":""Slanted - Normal Flap Slanted""}}]",Tux Jacket
02A2,"[{""Lower Pockets"":{""condition"":""equals"",""value"":""Slanted - Normal Flap with Ticket""}}]",Tux Jacket
02D1,"[{""Lower Pockets"":{""condition"":""equals"",""value"":""Slanted - Double Besom Slanted""}}]",Tux Jacket
02D3,"[{""Lower Pockets"":{""condition"":""equals"",""value"":""Slanted - Double Besom With Ticket Pocket""}}]",Tux Jacket
"0624, 0612","[{""Cuff"":{""condition"":""equals"",""value"":""3 Button - Flat Straight""}}]",Tux Jacket
"0624, 061D","[{""Cuff"":{""condition"":""equals"",""value"":""3 Button - Flat Slanted""}}]",Tux Jacket
"0625, 061D","[{""Cuff"":{""condition"":""equals"",""value"":""3 Button - Kissing Slanted""}}]",Tux Jacket
"0625, 0612","[{""Cuff"":{""condition"":""equals"",""value"":""3 Button - Kissing Straight""}}]",Tux Jacket
"0621, 0612","[{""Cuff"":{""condition"":""equals"",""value"":""4 Button - Flat Straight""}}]",Tux Jacket
"0621, 061D","[{""Cuff"":{""condition"":""equals"",""value"":""4 Button - Flat Slanted""}}]",Tux Jacket
"0622, 061D","[{""Cuff"":{""condition"":""equals"",""value"":""4 Button - Kissing Slanted""}}]",Tux Jacket
"0622, 0612","[{""Cuff"":{""condition"":""equals"",""value"":""4 Button - Kissing Straight""}}]",Tux Jacket
"0627, 0612","[{""Cuff"":{""condition"":""equals"",""value"":""5 Button - Flat Straight""}}]",Tux Jacket
0016,"[{""Jacket Style"":{""condition"":""contains"",""value"":""6-Button 2 Button Fasten""}}]",Tux Jacket
"0627, 061D","[{""Cuff"":{""condition"":""equals"",""value"":""5 Button - Flat Slanted""}}]",Tux Jacket
"0628, 061D","[{""Cuff"":{""condition"":""equals"",""value"":""5 Button - Kissing Slanted""}}]",Tux Jacket
04N1,"[{""Vent"":{""condition"":""equals"",""value"":""Single Vent""}}]",Tux Jacket
04N0,"[{""Vent"":{""condition"":""equals"",""value"":""No Vent""}}]",Tux Jacket
0570,"[{""Pic Stitching"":{""condition"":""equals"",""value"":""No Pic Stitch""}}]",Tux Jacket
0711,"[{""Lining"":{""condition"":""equals"",""value"":""Match Fabric""}}]",Tux Jacket
087A,"[{""Name Label"":{""condition"":""equals"",""value"":""No Label""}}]",Tux Jacket
00C1,"[{""Canvassing"":{""condition"":""equals"",""value"":""Half""}}]",Tux Jacket
000B,"[{""Canvassing"":{""condition"":""equals"",""value"":""Semi-full (+$75)""}}]",Tux Jacket
064Q,"[{""Lapel Buttonhole"":{""condition"":""equals"",""value"":""Milanese Lapel Buttonhole (+$30)""}}]",Tux Jacket
"C065Q, C0319, C0659, C099K= DXN033A","[{""Satin"":{""condition"":""equals"",""value"":""Satin - Ivory""}}]",Tux Jacket
"C065Q, C0319, C0659, C099K= TGES122","[{""Satin"":{""condition"":""equals"",""value"":""Satin - Grosgrain""}}]",Tux Jacket
"0628, 0612","[{""Cuff"":{""condition"":""equals"",""value"":""5 Button - Kissing Straight""}}]",Tux Jacket
